;epsilon;min_size;score;nb_clusters;var_portion
76;0.16000000000000003;2.0;-0.12373733196979583;10.0;0.6
137;0.07;5.0;-0.1776422466442825;10.0;0.65
660;0.28;3.0;-0.17330833257120526;10.0;0.8500000000000002
435;0.25000000000000006;3.0;-0.1245712208412598;10.0;0.7500000000000001
297;0.18000000000000005;4.0;-0.10859293871831589;10.0;0.7000000000000001
653;0.27;3.0;-0.15592885477293217;10.0;0.8500000000000002
551;0.25000000000000006;3.0;-0.1245712208412598;10.0;0.8000000000000002
392;0.17000000000000004;4.0;-0.32540813178361744;10.0;0.7500000000000001
80;0.17000000000000004;2.0;-0.12029482309643935;10.0;0.6
201;0.17000000000000004;2.0;-0.12029482309643935;10.0;0.65
605;0.13;2.0;-0.36946589972286975;9.0;0.8500000000000002
428;0.24000000000000005;4.0;-0.15340536224676624;9.0;0.7500000000000001
544;0.24000000000000005;4.0;-0.15340536224676624;9.0;0.8000000000000002
265;0.13;5.0;-0.24628370755463813;9.0;0.7000000000000001
350;0.28;2.0;0.05470794438848353;9.0;0.7000000000000001
747;0.29000000000000004;3.0;-0.2569476441781372;9.0;0.9000000000000002
751;0.30000000000000004;3.0;-0.2322361145348706;9.0;0.9000000000000002
153;0.09000000000000001;5.0;-0.16896506180716045;9.0;0.65
138;0.07;6.0;-0.18660568660044788;9.0;0.65
298;0.18000000000000005;5.0;-0.11450953867499751;9.0;0.7000000000000001
556;0.26000000000000006;3.0;-0.10627093894671481;9.0;0.8000000000000002
139;0.07;7.0;-0.19907955484645126;9.0;0.65
206;0.18000000000000005;2.0;-0.05504395236668791;9.0;0.65
32;0.09000000000000001;5.0;-0.16896506180716045;9.0;0.6
18;0.07;7.0;-0.19907955484645126;9.0;0.6
85;0.18000000000000005;2.0;-0.05504395236668791;9.0;0.6
641;0.25000000000000006;4.0;-0.27459124693621567;9.0;0.8500000000000002
694;0.33;2.0;0.12754785616061642;9.0;0.8500000000000002
735;0.26000000000000006;3.0;-0.31303666658215407;9.0;0.9000000000000002
440;0.26000000000000006;3.0;-0.10627093894671481;9.0;0.7500000000000001
742;0.28;3.0;-0.28958473950027847;9.0;0.9000000000000002
757;0.31000000000000005;3.0;-0.24443555536907696;9.0;0.9000000000000002
