,Player,final_team,Pos,G,MP,PER,TS%,3PAr,TRB%,USG%,OWS,DWS,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
57,Trey Burke,DAL,PG,0.44886363636363635,0.34196523589925504,0.4213107445385645,0.37931034482758635,0.37209302325581395,0.08045977011494256,0.5118320610687023,0.23059360730593612,0.11614173228346455,0.68,0.4,0.47,0.53,0.62,0.22,0.23,0.12,0.11,0.09,0.48,0.33,0.06,0.3,0.14,0.51
58,Alec Burks,PHI,SG,0.5587121212121212,0.4824405817665838,0.3615693267944717,0.37931034482758635,0.4069767441860465,0.2820512820512821,0.46870229007633596,0.22831050228310504,0.20078740157480315,0.55,0.4,0.43,0.4,0.51,0.43,0.42,0.12,0.36,0.28,0.27,0.38,0.08,0.35,0.21,0.46
59,Jimmy Butler,MIA,SF,0.5454545454545454,0.9521106775452287,0.7333927775300936,0.5517241379310345,0.23255813953488375,0.25906277630415564,0.5580152671755726,0.6651445966514461,0.531496062992126,0.6,0.2,0.27,0.61,0.68,0.68,0.68,0.27,0.27,0.27,0.44,0.71,0.14,0.3,0.04,0.61
60,Bruno Caboclo,HOU,C,0.058712121212121215,0.12202908832919472,0.2532322781988408,0.17241379310344826,0.5465116279069767,0.3978779840848807,0.2881679389312977,0.16818873668188739,0.09842519685039369,0.36,0.3,0.47,0.27,0.29,0.14,0.13,0.43,0.37,0.39,0.14,0.43,0.5,0.3,0.39,0.24
61,Kentavious Caldwell-Pope,LAL,SG,0.5208333333333334,0.7882227740333451,0.2924654480606331,0.44827586206896575,0.5697674418604651,0.13572060123784266,0.2984732824427481,0.33409436834094375,0.4763779527559055,0.43,0.42,0.51,0.29,0.32,0.22,0.22,0.12,0.18,0.15,0.15,0.52,0.06,0.19,0.12,0.35
62,Clint Capela,HOU,C,0.4166666666666667,0.6449095423909187,0.7061970575122604,0.6896551724137931,0.0,0.7683465959328029,0.32061068702290074,0.5197869101978692,0.5551181102362205,0.38,0.0,0.0,0.78,0.66,0.23,0.37,0.86,0.73,0.79,0.06,0.29,0.56,0.3,0.37,0.44
63,DeMarre Carroll,HOU,SF-PF,0.3484848484848485,0.5835402625044341,0.27017387427552386,0.37931034482758635,0.6046511627906977,0.32272325375773653,0.2996183206106871,0.26484018264840187,0.3110236220472441,0.39,0.44,0.53,0.22,0.28,0.27,0.33,0.24,0.38,0.34,0.12,0.43,0.11,0.21,0.23,0.33
64,DeMarre Carroll,HOU,SF,0.3484848484848485,0.5835402625044341,0.27017387427552386,0.37931034482758635,0.6046511627906977,0.32272325375773653,0.2996183206106871,0.26484018264840187,0.3110236220472441,0.39,0.44,0.53,0.22,0.28,0.27,0.33,0.24,0.38,0.34,0.12,0.43,0.11,0.21,0.23,0.33
65,DeMarre Carroll,HOU,PF,0.3484848484848485,0.5835402625044341,0.27017387427552386,0.37931034482758635,0.6046511627906977,0.32272325375773653,0.2996183206106871,0.26484018264840187,0.3110236220472441,0.39,0.44,0.53,0.22,0.28,0.27,0.33,0.24,0.38,0.34,0.12,0.43,0.11,0.21,0.23,0.33
66,Vince Carter,ATL,SF,0.42613636363636365,0.3540262504434197,0.22514489522960324,0.37931034482758635,0.7093023255813954,0.21662245800176835,0.25190839694656497,0.22298325722983262,0.21850393700787404,0.36,0.5,0.59,0.13,0.21,0.15,0.14,0.12,0.29,0.22,0.16,0.43,0.22,0.16,0.37,0.27
67,Michael Carter-Williams,ORL,SG,0.2840909090909091,0.38985455835402616,0.31119037004012484,0.17241379310344826,0.2674418604651163,0.2895667550839965,0.37480916030534356,0.14840182648401828,0.23818897637795278,0.38,0.12,0.21,0.4,0.51,0.28,0.34,0.25,0.34,0.3,0.49,0.71,0.31,0.49,0.47,0.27
68,Alex Caruso,LAL,PG,0.045454545454545456,0.3377084072366087,0.21711992866696395,0.37931034482758635,0.4418604651162791,0.13881520778072504,0.18740458015267178,0.18417047184170474,0.2578740157480315,0.23,0.24,0.3,0.22,0.29,0.22,0.25,0.12,0.18,0.15,0.38,0.71,0.17,0.4,0.32,0.22
69,Willie Cauley-Stein,DAL,C,0.5700757575757576,0.5164952110677544,0.49308961212661606,0.5172413793103448,0.011627906976744186,0.5251989389920425,0.28625954198473286,0.315068493150685,0.37795275590551186,0.37,0.0,0.0,0.66,0.64,0.22,0.31,0.49,0.55,0.53,0.16,0.52,0.39,0.26,0.39,0.34
70,Tyson Chandler,HOU,C,0.36553030303030304,0.42497339482085844,0.32768613464110563,0.7931034482758622,0.0,0.7214854111405836,0.012977099236641216,0.27701674277016747,0.24015748031496068,0.01,0.0,0.0,0.33,0.28,0.2,0.3,0.75,0.75,0.77,0.07,0.29,0.25,0.3,0.4,0.13
71,Wilson Chandler,BRK,SF,0.3409090909090909,0.6590989712664065,0.2064199732501115,0.4137931034482761,0.5581395348837209,0.32625994694960214,0.2118320610687023,0.25875190258751907,0.21850393700787404,0.34,0.34,0.42,0.29,0.31,0.11,0.14,0.25,0.38,0.34,0.18,0.24,0.14,0.26,0.3,0.26
72,Marquese Chriss,GSW,PF,0.3731060606060606,0.34728627172756293,0.28711547035220686,0.3448275862068967,0.38372093023255816,0.4946949602122017,0.37328244274809164,0.17275494672754949,0.23818897637795278,0.42,0.24,0.34,0.42,0.45,0.26,0.34,0.43,0.52,0.5,0.13,0.43,0.39,0.44,0.61,0.34
